"Station","lon","lat"
"Dufferin St / Bloor St",-79.4353285,43.6598576
"Dufferin St / Sylvan Av",-79.4333472,43.6546692
"Dundas St / Broadview Ave",-79.3513456,43.6624391
"Dundas St / Regent Park Blvd",-79.3618038,43.6603557
"Dundas St / Crawford St",-79.4170615,43.6500648
"Dundas St / Edna Ave",-79.4526928,43.657274
"Dundonald St / Church St",-79.3813459,43.6667003
"East Liberty St / Pirandello St",-79.4139607,43.6386723
"Essex St / Christie St",-79.4202547,43.6683553
"Exhibition GO",-79.4187734,43.6358793
"Fort York Blvd / Capreol Crt",-79.3956134,43.6398746
"Fort York Blvd / Garrison Rd",-79.4069885,43.6379814
"Front St / Bay St",-79.379161,43.6459461
"Front St / Yonge St",-79.3769334,43.6468244
"Front St / Cherry St",-79.3580917,43.6526324
"Gerrard St / River St",-79.3592313,43.6636944
"Glen Edyth Dr / Davenport Rd",-79.405556,43.677778
"Hanna Ave / Liberty St",-79.4195451,43.6385083
"Harbord St / Clinton St",-79.4158311,43.6602673
"Hayter St / Laplante Ave",-79.3859663,43.6590542
"Howard St / Sherbourne St",-79.3764212,43.6712495
"HTO Park",-79.3884382,43.6375849
"Jarvis St / Dundas St",-79.3745576,43.6570799
"Jimmie Simpson Park",-79.3447934,43.6612075
"Kendal Ave / Bernard Ave",-79.4084322,43.6719294
"Kendal Ave / Spadina Rd",-79.4052872,43.6703049
"King St / River St",-79.3561681,43.656868
"King St / Douro St",-79.4166062,43.641106
"King St / Fraser Ave",-79.4248104,43.6394623
"King St / Joe Shuster Way",-79.4235468,43.6397139
"King St / Stafford St",-79.4107175,43.6422906
"King St / Tecumseth St",-79.4052578,43.6433939
"Landsdowne Subway Green P",-79.4321367,43.6610633
"Lansdowne Ave / Whytock Ave",-79.4411144,43.6538351
"Liberty St / Fraser Ave Green P",-79.424112,43.6376044
"Lower Sherbourne St / The Esplanade",-79.3672694,43.6490352
"Macpherson Ave / Spadina Rd",-79.4074745,43.6758521
"Margueretta St / College St",-79.437566,43.651566
"Marlborough Ave / Yonge St",-79.3907295,43.679879
"Mary McCormick Rec Centre",-79.4328546,43.6474373
"McGill St / Church St",-79.3788522,43.660678
"Mill St / Tannery Rd",-79.3543446,43.652154
"Mortimer Ave / Coxwell Ave",-79.326557,43.6905839
"Nelson St / Duncan St",-79.388923,43.6488016
"Niagara St / Tecumseth St",-79.4044383,43.641387
"NULL",-79.3846911,43.6713021
"Ontario Place Blvd / Remembrance Dr",-79.4103392,43.6312186
"Ossington Ave / Bloor St",-79.4256242,43.6619827
"Ossington Ave / College St",-79.4226798,43.6543876
"Ossington Ave / Harrison St",-79.4213583,43.650949
"Palmerston Ave / Vermont Ave",-79.4163406,43.6715996
"Pape Subway Green P",-79.3453774,43.6795523
"Parliament St / Aberdeen Ave",-79.3682814,43.6650445
"Parliament St / Bloor St",-79.370728,43.6720333
"Princess St / Adelaide St",-79.3673842,43.6523981
"Queen St / Berkely St",-79.3657508,43.655317
"Queen St / George St",-79.372065,43.6539577
"Queen St / Sackville St",-79.361453,43.6562647
"Queen St / Close Ave",-79.4359476,43.6407312
"Queen St / Cowan Ave",-79.4331243,43.6413253
"Queen St / Dovercourt Rd",-79.4223717,43.6434786
"Queen St / Gladstone Ave",-79.4271162,43.6425333
"Queen St / York St",-79.3849089,43.651199
"Queens Quay / Yonge St",-79.3746697,43.6419596
"Queens Quay / Lower Simcoe St",-79.3827816,43.6395925
"Richmond St / Jarvis St Green P",-79.3770899,43.6526888
"Riverdale Park North",-79.3607592,43.6657008
"Riverdale Park South",-79.3607592,43.6657008
"Roxton Rd / Harbord St",-79.4230682,43.6587949
"Rusholme Park Cres / College St",-79.4296335,43.6529203
"Salem Ave / Bloor St",-79.4316443,43.6606625
"Seaton St / Dundas St",-79.3694957,43.6586458
"Sherbourne St / Carlton St",-79.3730555,43.6631932
"Spadina Ave / Willcocks St",-79.4012928,43.6613194
"St George St / Hoskin Ave",-79.398439,43.66408
"Stephenson Ave / Main St",-79.301609,43.6877284
"Sterling Rd / Dundas St",-79.4430582,43.6506776
"Strachan Ave / Princes' Blvd",-79.4091215,43.634877
"Sumach St / Carlton St",-79.3625111,43.6656837
"Summerhill Station",-79.3907744,43.6822899
"Taddle Creek Park",-79.3988344,43.6719982
"Ted Rogers Way / Bloor St",-79.3805398,43.6716033
"Trinity St /Front St",-79.3603354,43.6520867
"Ulster St / Bathurst St",-79.409058,43.6598108
"Victoria St / Gould St",-79.3801612,43.6576911
"Wellesley St / Queen's Park Cres",-79.3906297,43.6636082
"Wellesley St / Yonge St Green P",-79.3847268,43.667577
"Wellington St / Stafford St",-79.4102226,43.6410063
"Woodbine Subway Green P",-79.3110491,43.686833
"Yarmouth Rd / Christie St",-79.4209268,43.67002
"Yonge St / Aylmer Ave",-79.3889658,43.6755882
"Yonge St / Harbour St",-79.3754993,43.6432796
"Yonge St / Wood St",-79.383353,43.6620286
"Yonge St / Yorkville Ave",-79.3874532,43.6719226
"111 Bond St",-79.3785231,43.657095
"519 Church St",-79.3809699,43.6665315
"Adelaide St / Bay St",-79.380774,43.6498929
"Baldwin Ave / Spadina Ave",-79.39872,43.6549246
"Bay St / Charles St",-79.3888471,43.6682107
"Bloor GO / UP Station",-79.4508945,43.6580286
"Bloor St / Huntley St",-79.3791713,43.6718901
"Bloor St / Balmuto St",-79.3880036,43.6699957
"Bloor St / High Park Ave",-79.4652644,43.6535605
"Bloor St / Manning Ave",-79.4160863,43.6640657
"Bloor St / Shaw Ave",-79.4232428,43.662502
"Borden St / Bloor St",-79.4086442,43.6656652
"Charles St / Jarvis St",-79.3798863,43.6699532
"Charles St / Balmuto St",-79.3873854,43.668477
"Chorley Park",-79.3692834,43.6860497
"Church St / Dundas St",-79.3771297,43.656496
"Dovercourt Rd / Harrison St",-79.4250506,43.6502288
"Dufferin Gate",-79.4819486,43.837853
"Dundas St / Pembroke St",-79.3724019,43.6581648
"Dundas St / Roncesvalles Green P",-79.3770899,43.6526888
"Dundas St / St Patrick St",-79.3903151,43.6544805
"Exhibition GO Station",-79.4187734,43.6358793
"Fringe Next Stage - 7219",-79.3502186,43.6581282
"Garden Ave / Roncesvalles Ave",-79.4474894,43.6438041
